question,gold_answer,KG answer,taxonomy_label,method,source,cause
Who is the author of the novels the 1999 TVB series that was based on whose theme song was by the God of Songs of Hong Kong,Louis Cha,"Hanoi|Hanoi (lang:en)
Tuyên Quang|Tuyên Quang (lang:en)
Iu Mien|Iu Mien (lang:en)
Thái Nguyên|Thái Nguyên (lang:en)
Thái Nguyên|Thái Nguyên (lang:en)
...|...
Nung|Nung (lang:en)
Sông Công|Sông Công (lang:en)
Võ Nhai|Võ Nhai (lang:en)
Vietnam|Vietnam (lang:en)
Category:Thái Nguyên province|Category:Thái Nguyên province (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/OTT_QA_dev_complex/00132.json,long answer
What are the different geological fracture zones ?,"Chile | Mocha | Valdivia | Easter | Vema | Kane | Charlie-Gibbs Name from GEBCO gazetteer, position refined by means of [http://www.ngdc.noaa.gov/mgg/global/global.html etopo2] and sample data of GPlates","Bight Fracture Zone (lang:en)
Faraday Fracture Zone (lang:en)
Vening Meinesz Fracture Zone (lang:en)
Cook Fracture Zone (lang:en)
Clarion-Clipperton Zone (lang:en)
...
Shackleton Fracture Zone (lang:en)
Sovanco Fracture Zone (lang:en)
Vinogradov Fracture Zone (lang:en)
Molokai Fracture Zone (lang:en)
Blanco transform fault zone (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00046.json,long answer
List female poets of Andalusian Spain along with their year of birth and year of death.,"[['Aisha (poet)', '10 century CE', '1009 or 1010 CE'], ['Maria Alphaizuli', '8th century CE', '8th century CE'], [""Buthaina bint al-Mu'tamid ibn Abbad"", '1070 CE', 'probably early 12 century CE'], ['Al-Gassaniyya', '10th or 11th century', '11th century CE'], ['Hafsa bint al-Hajj al-Rukuniyya', '1135 CE', '1190–91 CE'], ['Hamda bint Ziyad al-Muaddib', '12th century CE', '12 century CE'], ['Lubna of Córdoba', 'second half of the 10th century', 'after 962 CE'], ['Muhja bint al-Tayyani', '11th century CE', '1097 CE'], ['Nazhun al-Garnatiya bint al-Qulaiʽiya', '12th century', '12th-century CE'], ['Qasmuna', '11th or 12th century CE', '12th century CE'], ['Al-Rumaikiyya', 'c. 1045-1047', '1091 CE'], ['Umm Al-Kiram', 'late 11th century', 'late 11 century to early 12 century CE'], [""Umm Assa'd bint Isam al-Himyari"", 'unknown', '1243 CE'], ['Wallada bint al-Mustakfi', '994 CE or 1001 CE', '26 March 1091'], ['Zaynab al-Mariyya', '11th–13th centuries', '11th or 12 century CE']]","Carmen Canet|Carmen Canet (lang:en)|1955-01-01T00:00:00Z|
Natalia Carbajosa|Natalia Carbajosa (lang:en)|1971-01-01T00:00:00Z|
Pilar León Tello|Pilar León Tello (lang:en)|1917-01-01T00:00:00Z|2017-02-02T00:00:00Z
Pilar León Tello|Pilar León Tello (lang:en)|1917-12-08T00:00:00Z|2017-02-02T00:00:00Z
María Martín Barranco|María Martín Barranco (lang:en)||
...|...|...|...
Ruth Rubio-Marín|Ruth Rubio-Marín (lang:en)|1969-10-06T00:00:00Z|
Nocem Collado|Nocem Collado (lang:en)|1972-01-01T00:00:00Z|
Amalia Domingo Soler|Amalia Domingo Soler (lang:en)|1835-11-10T00:00:00Z|1909-04-29T00:00:00Z
María Hesse|María Hesse (lang:en)|1982-01-01T00:00:00Z|
Rosa Díaz|Rosa Díaz (lang:en)|1946-01-01T00:00:00Z|",Different answer,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00037.json,long answer
How old are the actors of the main cast of Lost today,"[['Naveen Andrews', '54'], ['Emilie de Ravin', '41'], ['Matthew Fox', '57'], ['Jorge Garcia', '50'], ['Maggie Grace', '40'], ['Josh Holloway', '54'], ['Malcolm David Kelley', '31'], ['Daniel Dae Kim', '55'], ['Yunjin Kim', '49'], ['Evangeline Lilly', '44'], ['Dominic Monaghan', '44'], [""Terry O'Quinn"", '71'], ['Harold Perrineau', '60'], ['Ian Somerhalder', '44'], ['Adewale Akinnuoye-Agbaje', '56'], ['Michelle Rodriguez', '45'], ['Cynthia Watros', '55'], ['Henry Ian Cusick', '56'], ['Michael Emerson', '69'], ['Elizabeth Mitchell', '53'], ['Kiele Sanchez', '45'], ['Rodrigo Santoro', '48'], ['Jeremy Davies', '53'], ['Ken Leung', '53'], ['Rebecca Mader', '46'], ['Néstor Carbonell', '55'], ['Jeff Fahey', '70'], ['Zuleikha Robinson', '46'], ['Sam Anderson', '76'], ['François Chau', '63'], ['Fionnula Flanagan', '81'], ['John Terry', '73'], ['Sonya Walger', '49']]","Chris Mulkey|Chris Mulkey (lang:en)|75
Tom Irwin|Tom Irwin (lang:en)|67
Sterling Beaumon|Sterling Beaumon (lang:en)|28
Justin Chatwin|Justin Chatwin (lang:en)|41
Ian Somerhalder|Ian Somerhalder (lang:en)|45
...|...|...
Bill Duke|Bill Duke (lang:en)|80
Michael Cudlitz|Michael Cudlitz (lang:en)|59
Rob McElhenney|Rob McElhenney (lang:en)|46
Samm Levine|Samm Levine (lang:en)|41
Saul Rubinek|Saul Rubinek (lang:en)|75",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00025.json,long answer
who wrote the declaration of man and citizen,"General Lafayette, (sometimes with Thomas Jefferson) and Honoré Mirabeau","National Constituent Assembly|Adunarea Constituantă Franceză (lang:ro)
National Constituent Assembly|Asamblea constituínte de 1789 (lang:gl)
National Constituent Assembly|Asamblea Nacional Constituyente (lang:es)
National Constituent Assembly|Asembleo Nacia Konstitucifara (lang:eo)
National Constituent Assembly|Asenblea Nasionałe Constituente (lang:vec)
...|...
National Constituent Assembly|国民制宪议会 (lang:zh-hans)
National Constituent Assembly|國民制憲議會 (lang:zh-hant)
National Constituent Assembly|國民制憲議會 (lang:zh-hk)
National Constituent Assembly|國民制憲議會 (lang:zh-tw)
National Constituent Assembly|憲法制定国民議会 (lang:ja)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00111.json,long answer
What is the works in the collection of the Black Flag music band,Museum of Modern Art,"Black Flag with Raymond Pettibon – Slip It In
The Process of Weeding Out
Slip It In
In My Head
Everything Went Black
...
Nervous Breakdown
The First Four Years
Family Man
Jealous Again
My War",Different answer,LLM-as-a-judge,ComplexQA/CompMix_infobox_complex/00128.json,long answer
who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyū,Same,Simple heuristics,SimpleQA/NQ_table_test_simple/00502.json,duplicate
who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyū,Same,Simple heuristics,SimpleQA/NQ_table_test_simple/00503.json,duplicate
who won the american league pennant in 2017,Houston Astros,Houston Astros,Same,Simple heuristics,SimpleQA/NQ_table_test_simple/00744.json,duplicate
who won the mens figure skating in 2018 olympics,Yuzuru Hanyu | Shoma Uno | Javier Fernández,Yuzuru Hanyū,Higher accuracy in Table than in KG,Simple heuristics,SimpleQA/NQ_table_test_simple/00363.json,duplicate
when was the last time michigan basketball won the championship,1989,2025-03-01T00:00:00Z,Different answer,Simple heuristics,SimpleQA/NQ_table_test_simple/00898.json,duplicate
when was the last time michigan basketball won the championship,1989,2019-03-23T00:00:00Z,Different answer,Simple heuristics,SimpleQA/NQ_table_test_simple/00900.json,duplicate
what's the average lifespan of a basset hound,Median 10–12 years,11.5,Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00261.json,duplicate
what was vietnam called in the years before world war 2,French Indochina,Dai Viet (lang:en),Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00379.json,duplicate
who is the oldest wrestler that is still wrestling,Dory Funk Jr.,Vincent Slades|Vincent Slades (lang:en)|http://www.wikidata.org/.well-known/genid/09efc33743171237c0bf46b54d8ebc97,Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00005.json,duplicate
when did michigan last win a national championship,1989,2024 College Football Playoff National Championship|2024-01-08T00:00:00Z,Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00359.json,duplicate
who won last year's ncaa women's basketball,South Carolina,LSU Tigers women's basketball,Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00524.json,duplicate
what is the most current adobe flash player version,28.0.0.137,32.0.0.465,Temporal changes,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00656.json,duplicate
who is the chief economic advisor of india,Arvind Subramanian,Krishnamurthy Subramanian|Krishnamurthy Subramanian (lang:en)|2018-12-01T00:00:00Z,Temporal changes,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00625.json,duplicate
what was the last episode of the flash,"""Finish Line""","The Flash, season 8",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00462.json,duplicate
